id_atendimento,data_venda,valor_venda,descricao_servico,valor_servico,nome_animal,peso_animal,nome_cliente,nome_funcionario,cpf_funcionario,data_atendimento,valor_total_atendimento
1,2024-07-15 00:00:00,75.9,Venda de Produtos da Loja,50.0,Bella,3.0,Carlos Pereira,Fernanda Costa,56789012345,2024-07-15 00:00:00,75.9
2,2024-07-20 00:00:00,70.0,Consulta Veterinária de Emergência,70.0,Gigi,0.25,Ricardo Lima,Ana Santos,45678901234,2024-07-20 00:00:00,70.0
3,2024-07-20 00:00:00,100.0,Diária Básica,100.0,Bella,3.0,Carlos Pereira,Ana Santos,45678901234,2024-07-20 00:00:00,100.0
4,2024-08-01 00:00:00,150.0,Transporte para Consultas,150.0,Dolly,2.2,Tiago Fernandes,Ana Santos,45678901234,2024-08-01 00:00:00,150.0
5,2024-08-05 00:00:00,40.0,Venda de Produtos da Loja,40.0,Piui,1.8,Juliana Martins,Ricardo Lima,89012345678,2024-08-05 00:00:00,40.0
6,2024-08-10 00:00:00,100.0,Banho,80.0,Milo,4.8,Ana Santos,Fernanda Costa,56789012345,2024-08-10 00:00:00,100.0
7,2024-08-12 00:00:00,50.0,Venda de Produtos da Loja,20.0,Fufu,0.3,Gabriela Mendes,Ricardo Lima,89012345678,2024-08-12 00:00:00,20.0
8,2024-08-12 00:00:00,50.0,Aparação de Bico,30.0,Nina,0.8,Gabriela Mendes,Ricardo Lima,89012345678,2024-08-12 00:00:00,30.0
9,2024-08-14 00:00:00,185.9,Consulta Veterinária de Emergência,40.0,Rex,8.5,João Silva,Paulo Souza,67890123456,2024-08-14 00:00:00,40.0
10,2024-08-14 00:00:00,185.9,Diária Básica,50.0,Rex,8.5,João Silva,Paulo Souza,67890123456,2024-08-14 00:00:00,75.9
11,2024-08-14 00:00:00,185.9,Banho,70.0,Rex,8.5,João Silva,Paulo Souza,67890123456,2024-08-14 00:00:00,70.0
12,2024-08-18 00:00:00,25.0,Diária Básica,0.0,Parker,1.5,Arnaldo,Carlos Pereira,34567890123,2024-08-18 00:00:00,25.0
13,2024-08-20 00:00:00,105.0,Aparação de Bico,70.0,Pipoca,1.2,Mariana Rocha,Ana Santos,45678901234,2024-08-20 00:00:00,105.0
14,2024-08-25 00:00:00,200.0,Diária Básica,80.0,Toby,4.0,Laura Nascimento,Ana Santos,45678901234,2024-08-25 00:00:00,200.0
15,2024-09-01 00:00:00,125.0,Diária com Recreação,80.0,Rex,2.0,Fernanda Costa,Fernanda Costa,56789012345,2024-09-01 00:00:00,125.0
16,2024-09-05 00:00:00,360.0,Consulta Veterinária de Emergência,0.0,Parker,1.5,Arnaldo,Carlos Pereira,34567890123,2024-09-05 00:00:00,230.0
17,2024-09-05 00:00:00,360.0,Consulta Veterinária de Emergência,70.0,Blue,0.6,André Duarte,Ana Santos,45678901234,2024-09-05 00:00:00,130.0
18,2024-09-08 00:00:00,100.0,Transporte para Consultas,100.0,Sasha,8.5,Carolina Ribeiro,Ana Santos,45678901234,2024-09-08 00:00:00,100.0
19,2024-09-08 00:00:00,70.0,Venda de Produtos da Loja,70.0,Tina,9.4,Paulo Souza,Juliana Martins,78901234567,2024-09-08 00:00:00,70.0
20,2024-09-12 00:00:00,40.0,Banho,0.0,Parker,1.5,Arnaldo,Carlos Pereira,34567890123,2024-09-12 00:00:00,40.0
21,2024-09-15 00:00:00,150.0,Transporte para Consultas,50.0,Toby,7.0,Ana Santos,Paulo Souza,67890123456,2024-09-15 00:00:00,50.0
